サロン名,〒,都道府県,市,詳細住所,tel,サロンHP,黒髪OPIキャンペーン購入
K'sコレクション 秋田山王,010-0943,秋田県,秋田市川尻御休町5-34,,018-863-2702,https://the-kid.co.jp,
Tie,010-0943,秋田県,秋田市,川尻卸休町4－27,018-811-5070,,
美容室ピエム,010-0951,秋田県,秋田市,山王6-1-5,0120-652-691,,
K'sコレクション 御所野店,010-1413,秋田県,秋田市御所野地蔵田2-1-11地内  レインボーガーデン2F,,0188-39-0667,https://the-kid.co.jp,
美容室J･D,010-1436,秋田県,秋田市,大住 2-18-10,018-829-0220,,
美容室Magics,011-0931,秋田県,秋田市,将軍野東 4-13-2,018-847-2339,,
K'sコレクション 本荘店,015-0011,秋田県,本荘市石脇宇田中138,,0184-28-0121,https://the-kid.co.jp,
K美容室 高塙店,016-0184,秋田県,能代市,高塙 120-1,0185-89-4833,,
K美容室 通町店,016-0845,秋田県,能代市,通町 6-18,0185-54-2850,,
サバービア･ヘアデザイン,019-0529,秋田県,横手市,十文字町海道下37−1,0182-55-2118,http://suburbia-hd.com,
UNIQUE 大通店(ユニーク オオドウリテン),020-0022,岩手県,盛岡市,大通1-3-7,019-651-7007,http://www.unique-g.co.jp/,
Hair&Nail Broad 盛岡,020-0851,岩手県,岩手県盛岡市向中野7-14-3 アクロスプラザ盛南,,019-656-7291,https://the-kid.co.jp,
B-PIECE 一関店,021-0015,岩手県,一関市山目字泥田89-1 イオン一関店1F,,0191-25-5993,https://the-kid.co.jp,
美容室Un amiw (アン アミゥ),024-0094,岩手県,北上市,本通リ1丁目6−16,0197-63-8680,http://unamiw.com/,
銀ノハサミ Cherm(ギンノハサミ シェルム),028-0041,岩手県,久慈市,長内町30-18-2,0194-53-1156,http://artistar.biz/,
UNMAYBE,030-0801,青森県,青森市,新町１丁目14-11,017-711-8212,https://unmaybe.com/,
Favorite Place(フェバリット プレイス),030-0843,青森県,青森市,浜田3-1-1 ドリームタウンALi2F,017-718-2033,http://www.kenji-ghg.jp/corporate/company/outline.html,
ギンノハサミ alma(ギンノハサミ アルマ),030-0843,青森県,青森市,浜田字玉川196-10,017-752-0248,http://artistar.biz/,
iRie hair(アイリーヘアー),030-0843,青森県,青森市,浜田1-14-1 イトーヨーカドー青森店 2F,017-762-3433,http://www.kenji-ghg.jp/corporate/company/outline.html,
ギンオハサミ Laco(ギンオハサミ ラッソ),030-0855,青森県,青森市,北金沢1-13-14,017-776-3830,http://artistar.biz/,
銀ノハサミ 南類家店(ギンノハサミ ミナミルイケテン),031-0004,青森県,八戸市,南類家1-3-11,0178-24-4626,http://artistar.biz/,
Harmony(ハーモニー),031-0042,青森県,八戸市,十三日町5,0178-45-3577,http://style-heroine.com/,
銀ノハサミ fina(ギンノハサミ フィーナ),031-0071,青森県,八戸市,沼館4-1-87,0178-47-1335,http://artistar.biz/,
銀ノハサミ 売市店(ギンノハサミ ウルイチテン),031-0073,青森県,八戸市,売市3-1-26,0178-47-8855,http://artistar.biz/,
ヘアー&メイク MONTBLANC(ヘアーアンドメイク モンブラン),031-0823,青森県,八戸市,湊高台6-1-26,0178-34-3836,http://artistar.biz/,
ヘアーハウス ルポNEED(ヘアーハウス ルポ ニード),034-0012,青森県,十和田市,東一番町4−3,0176-22-0374,http://artistar.biz/,
ヘアーメイク ルポgrasa,034-0031,青森県,十和田市,東三番町7−15,0176-22-9050,http://artistar.biz/,
ヘアーメイク ルポZEST,034-0041,青森県,十和田市,相坂小林17−15,0176-25-0803,http://artistar.biz/,
美容室flower,035-0071,青森県,むつ市,小川町 1-3-15,0175-23-6112,,
UNIQUE 並木通リ店(ユニーク ナミキドウリテン),036-8002,青森県,弘前市,駅前3-3-3,0172-33-0282,http://www.unique-g.co.jp/,
Natural 弘前店(ナチュラル ヒロサキテン),036-8002,青森県,弘前市,駅前3-2-1 イトーヨーカドーB1,0172-36-1190,http://www.kenji-ghg.jp/corporate/company/outline.html,
Hair Make ELLE(ヘアメイク エル),036-8003,青森県,弘前市,駅前町7−1,0172-33-0161,,
ADDICT Hair Make(アディクト ヘアメイク),036-8021,青森県,弘前市,和徳町71-1,0172-32-2244,,
Vintage 青山店(ヴィンテージ アオヤマテン),036-8062,青森県,弘前市,青山2-24-3,0172-32-8727,http://vintage-hirosaki.com/,
UA2(ユーエードゥ),036-8091,青森県,弘前市,高崎2-17-1,0172-29-2929,http://www.unique-g.co.jp/,
Laliaison(リエゾン),038-3803,青森県,藤崎町,西豊田1-7-1 イオン藤崎店1F,0172-75-4100,http://www.kenji-ghg.jp/corporate/company/outline.html,
銀ノハサミ Re@ve(ギンノハサミ レーヴ),039-1111,青森県,八戸市,東白山台3-1-1,0178-70-7535,http://artistar.biz/,
ヘアー&メイク MONTBLANC 東白山台店(ヘアーアンドメイク モンブラン ヒガシハクサンダイテン),039-1111,青森県,八戸市,東白山台2-32-2,0178-80-7032,http://artistar.biz/,
銀ノハサミ 下長店(ギンノハサミ シモナガテン),039-1164,青森県,八戸市,下長2-3-13,0178-21-2885,http://artistar.biz/,
IE HAIR DESIGN,039-2112,青森県,上北郡おいらせ町,中野平40-1,0176-22-0868,http://shimoda-aeonmall.com/shop/detail/206,
髪工房,040-0004 ,北海道,函館市,杉並町６−３,0138-55-0099,http://www.kamikobo-hakodate.com/company.html,
Luluwdy,040-0034,北海道,函館市,大森町22−2,0138-24-2003,http://www.luluwdy.com/,
RiTA,041-0801,北海道,函館市,桔梗町418−409,0138-83-5195,http://rita.hairclub-mix.com/,
ESTMODE,041-0811,北海道,函館市,富岡町1丁目23−1,0138-40-0450,http://estmode.com,
ars t hair SHIELD,041-0812,北海道,函館市,昭和1丁目31−8,0573-67-7616,http://www.shield104.com,
Ｉ’ｓ　ＰＲＩＳＭ,042-0942,北海道,函館市,柏木町35-4,0138-53-6974　,http://www.ishair.com/prism,
Design Labo arte,046-0025,北海道,余市郡余市町,富沢町9−8,0135-22-0020,http://designlabo-arte.com/,
Ange Bayside OTARU,047-0008,北海道,小樽市,築港11−１,0134-61-7153,https://toshix.jp/ange/,
Hairmake U-YU,047-0032,北海道,小樽市稲穂,3丁目8−17,0134-64-1801,http://u-yu.main.jp/,
HAIR SPACE chouchou,053-0054,北海道,苫小牧市,明野新町6-33-7,0144-57-0102,http://hair-chouchou.com/,
anis musee,059-1263,北海道,苫小牧市,青雲町1丁目23-15,0144-68-3838,www.anis93.com,
chouchou α,059-1302,北海道,苫小牧市拓勇西町,4丁目3−2,0144-84-3636,http://www.hair-chouchou.com/,
lico little lico little 札幌駅前,060-0001,北海道,札幌市,中央区北1条西3-3-11　桂和北1条ビル４Ｆ,011-213-0014,http://anemone-salon.com/salon/lico-little-sapporo-ekimae/,
インセイン,060-0002,北海道,札幌市,中央区北2条西3丁目札幌北2条ビル3F,011-210-9505,http://insane-summit.com,
アナザー,060-0002,北海道,札幌市,中央区北2条西2丁目UENOビル地下1階,011-222-6110,http://www.another-kamikiri.com/,
MIXSA hair design,060-0002,北海道,札幌市,中央区北２条西３丁目１－３４ 正門館ビル５階,011-206-8703,http://kestra.info/,
bico SAPPORO,060-0003,北海道,札幌市,中央区北3条西3丁目 マルゲンビル4F,011-272-7110,http://bico-salon.com/,
lico 札幌駅前,060-0003,北海道,札幌市,中央区北3条西2丁目1-27 アストリア札幌3F,011-206-0206,http://anemone-salon.com/salon/lico-sapporo-ekimae/,
HACO,060-0004,北海道,札幌市,中央区北4条西3丁目 成友ビル9F,011-252-9240,http://bico-salon.com/,
Lien,060-0005,北海道,札幌市,中央区北5条西24−2−1,011-213ｰ9223,https://beauty.hotpepper.jp/slnH000264545/,
HairSalon ZEEN,060-0032,北海道,札幌市中央区,北2条東1丁目5−2E−hoeizon北2条,011-252-9320,http://hairsalon-zeen.com/,
"STILL hair,spa&eyelash",060-0042,北海道,札幌市,中央区大通西1丁目11番地ル･トロワ5F,011-223-2000,http://still-beauty.com/,
HAIR MAKE MALUNA本店,060-0042,北海道,札幌市,中央区大通西18丁目インフィニート大通2F,011-616-8833,http://maluna-hair.com/,
GROEN,060-0042,北海道,札幌市,中央区大通西15丁目1-13,011-795-7567,http://www.dplus-groen.com/#!/salon,
little sapporo,060-0042,北海道,札幌市,中央区大通西2丁目5 陶管ビル 3F,011-252-7849,http://anemone-salon.com/salon/little-sapporo/,
ROSTAR,060-0061,北海道,札幌市,中央区南1条西3丁目8 エムズサッポロビル4F,011-206-4458,,
Betray,060-0061,北海道,札幌市,中央区南1条西1丁目マナー白鳥ビル1F,011-221-4447,http://www.betray.jp/,
インプレッション イスト,060-0061,北海道,札幌市,中央区南1条西1丁目Sakaビル2F/3F,011-222-2546,http://impression-web.jp/,
LAD HAIR,060-0061,北海道,札幌市,中央区南1条西2-4-1 第5藤井ビル2F,011-242-2338,https://beauty.hotpepper.jp/slnH000118963/,
one's by bico,060-0061,北海道,札幌市,中央区南1条西3丁目8 エムズサッポロビル4F,011-272-3327,http://bico-salon.com/,
molle,060-0061,北海道,札幌市,中央区南1条西5丁目5-5 北日本中央ビル2F,011-596-9988,http://sapporo.molle.jp/,
lico little 大通,060-0061,北海道,札幌市,中央区南1条西4丁目15-1 第21ビックビル 3階 341号,011-596-8898,http://anemone-salon.com/salon/lico-little-odoroi/,
hair salon Graphy 札幌大通店,060-0061,北海道,札幌市中央区,南１条西４丁目７−１ クリエイトビル ２F,011-213-0414,https://toshix.jp/graphy/sapporo/,
hair salon MUA,060-0061,北海道,札幌市中央区,南1条西5丁目1−5,011-281-2833,,
HAIR MAKE ALUNA大通店,060-0062,北海道,札幌市,中央区南2条西6丁目土肥ビル2F,011-200-8833,http://maluna-hair.com/,
ALURE大通店,060-0062,北海道,札幌市,中央区南2条西5丁目6−1ロジェ札幌25(ロジェプラザ内) 2F,011-206-8804,,
asterisk,060-0062,北海道,札幌市,中央区 南2条西2丁目8−2,011-215-1037,https://www.facebook.com/asterisk.2015103/,
cotie,060-0062,北海道,札幌市,中央区南2条西1-17 2F,011-221-3800,http://cotie.jp/,
MEIKA,060-0062,北海道,札幌市,中央区南2条西1丁目8-2 アスカビル3F,011-222-1572,http://meika-hair.com/,
STILL un label,060-0062,北海道,札幌市,中央区南2条西3丁目1-7MODAビル2階,011-223-2222,http://still-beauty.com/,
SKNOW,060-0062,北海道,札幌市,中央区南2条西4丁目 Pivot5F,0120-184-183,http://www.salon-sknow.jp/,
Orque,060-0062,北海道,札幌市,中央区南2条西1丁目,0573-67-7618,https://www.instagram.com/p/Ba2y4fvhV6N/?hl=ja,
unite by little,060-0062,北海道,札幌市,中央区南２条西２丁目23-1 オカダヤビル3F,011-788-8839,http://anemone-salon.com/,
DEFY,060-0063,北海道,札幌市,中央区南3条西1丁目,011-206-8278,https://www.facebook.com/ＤＥＦＹ-デフィー-252228548207124/?ref=hl,
virtue,060-0063,北海道,札幌市,中央区南3条西4丁目11-2 アーバン札幌別館1F,011-210-0225,http://www.virtue-info.cc/,
KESTRA,060-0063,北海道,札幌市,中央区南3条西2丁目 H&B PLAZA 2F,011-232-2310,http://www.kestra.info,
Lima by litle,060-0063,北海道,札幌市,中央区南三条西3-8-1 エデルノビル4F,011-211-0158,http://anemone-salon.com/,
Rowlly by green,060-0063,北海道,札幌市,中央区南3条西5丁目F-DRESS 5番街BLD3F,011-213-0258,http://www.hairmake-rowlly.com/,
EL.by green,060-0063,北海道,札幌市,中央区南3条西3丁目8-1エテルノビルB1F,011-232-7997,http://www.hairmake-el.com/,
アンク・クロス 札幌店,060-0063,北海道,札幌市,中央区南三条西３丁目１５番アルファ南三条ビル２階Ａ号室,011-200-7676,https://www.ankhcross.co.jp/,
Corte by little,060-0063,北海道,札幌市,中央区南3条西3丁目8-1　エテルノビル7Ｆ ,011-211-0158,http://anemone-salon.com/salon/corte-by-little/,
lico 大通,060-0063,北海道,札幌市,中央区南3条西3丁目 南3条西3-8-1 エテルノ札幌ビル5F,011-205-0126,http://anemone-salon.com/salon/lico-odoroi/,
LACQ,060-0063,北海道,札幌市,中央区南３条西３丁目8－1エテルノビル８Ｆ ,011-838-7069,https://beauty.hotpepper.jp/slnH000391835/tel/,
coaen,060-0807,北海道,札幌市,北区北7条西6−1−1,011-374-6672,https://beauty.hotpepper.jp/slnH000317067/,
mad grammar,060-0807,北海道,札幌市,北区北七条西4丁目３　宮澤ビル3F,011-788-6655,,
moooooi HAIR SPACE,061-1435,北海道,恵庭市,中島町2-8-15,0123-25-3370,https://www.moooooihs.com/,
MIZZO,062-0020,北海道,札幌市,豊平区月寒中央通7-6-20 JA月寒中央ビル1F,011-857ｰ9123,http://www.mizzo-salon.com/blog/,
starly,063-0812,北海道,札幌市,西区琴似2条7-2-46,011-215-7299,https://beauty.hotpepper.jp/slnH000346856/,
hair salon Linda,063-0814,北海道,札幌市,西区琴似4条1丁目1-1 コルテナ 1F,011-838-8311,http://linda-sapporo.com/,
pesca 札幌大通,064-0804,北海道,札幌市,中央区南4条西2−14−2 セントラルS4ビル9F,011-522-5744,www.pesca-hair.jp/salon,
BLOW,064-0805,北海道,中央区,南5条西2-1 2F,011-252-7970,https://beauty.hotpepper.jp/slnH000371512/,
G-grow,064-0805,北海道,札幌市,中央区南5条西3−8 Nグランデビル5F,011-596-0006,https://beauty.hotpepper.jp/slnH000351356/,
sigum,064-0820,北海道,中央区,大通西20-3-31 3F,011-215-5233,http://signum-s.com/bud/,
美容室 スニップ,065-0013,北海道,札幌市,東区北13条14−4−1,011-702-3833,http://www.snip-web.jp/index.html,
SANS-SOUCI,065-0023,北海道,札幌市,東区北23条東15-5-27 1F,011-733-9333,https://beauty.hotpepper.jp/slnH000040066/,
リピュート,065-0024,北海道,札幌市,東区北24条東16-1-4 ロイヤル元町2F,011-784-1057,https://beauty.hotpepper.jp/slnH000121320/,
グランディーヌ札幌,065-8518,北海道,札幌市東区北7条東9-2-20  アリオ札幌１F,,011-374-8804,https://the-kid.co.jp,
Felice,066-0041,北海道,千歳市,清水町3丁目8−1 スクエアビルⅡ,0123-21-8780,http://felice-chitose.com/,
Lima by little asahikawa,070-0032,北海道,旭川市,2条通8丁目144-2 旭川二条通ビル1F,011-674-3303,http://anemone-salon.com/,
Create BIBA,071-1523,北海道,上川郡,東神楽町ヒジリ野南1条5丁目1−1 ベストム東神楽店内,0166-83-0070,http://to-be.jp/,
OBJET 末広店,071-8121,北海道,旭川市,末広東1条1−1−1,0166-54-1312,http://hair-objet.jp/,
Chouette,073-0033,北海道,滝川市,新町1−11−11,080-3531-0755,https://ar31503445ar.wixsite.com/chouette,
REGARO,074-0005,北海道,深川市,5条12番41号,0164-20-1014,http://regaro1014.jp/index.html,
LODGE,078-8315,北海道,旭川市,神楽岡五条6-4-22 旭祥ハイツ1階右,0166-99-0760,,
Room for Beauty,078-8343,北海道,旭川市,東光3条1丁目4−14,0166-34-3188,,
SEESAW,078-8372,北海道,旭川市,旭神2条4丁目11−12,0166-66-1686,,
帯廣美容所,080-0015,北海道,帯広市,西5条南19丁目18番地,0155-21-0321,https://obihirobiyoujo.amebaownd.com/,
kiriko atelier,080-0016,北海道,帯広市,西6条南31丁目5-2,0155-22-7711,http://kiriko-a.jp/index.php,
アラモード ルキナ,080-0026,北海道,帯広市,西16条南40丁目1−2,0155-67-4005,http://a-la-mode.jp/,
アラモード サントル,080-0028,北海道,帯広市,西18条3丁目26,0155-38-5766,http://a-la-mode.jp/,
RUCOLA,080-0111,北海道,河東郡音更町,木野大通東2-2-1,0120-972-788,http://rucola-salon.info/introduction/,
アラモード フォレ,080-0111,北海道,河東郡音更町,木野大通東11,0155-43-5770,http://a-la-mode.jp/,
THE BENCHMADE STORE,080-0301,北海道,河東群音更町,木野大通西14丁目1-19,0155-30-9020,https://www.facebook.com/The.Benchmade.Store,
Mod's Hair 音更,080-0301,北海道,河東群音更町,木野大通西15丁目1−6,0155-67-4266,http://modshair.co.jp/salon/detail.php?salon_id=89,
アラモード シェリア,080-0831,北海道,帯広市,稲田町南8線西14番地,0155-48-8181,http://a-la-mode.jp/,
Drape,080-2471,北海道,帯広市,西21条南4丁目2-12,0155-67-8889,http://www.drape-obihiro.jp/,
FEEL,084-0910,北海道,釧路市,昭和中央3-45ー11,0154-52-2030,http://salon-feel.net/index.html,
スタジオK's×Y's,085-0061,北海道,釧路市,芦野１‐８‐１０ ,0154-38-3099,,
ヘアーズ スプーン,085-0063,北海道,釧路市,文苑1-22-2,0154-38-0789,http://hairs-spoon.com/menu,
YACQUWA ∞,085-0813,北海道,釧路市,春採6丁目10番3号,0154-42ｰ1777,http://www.yacquwa.com/menu/,
アールモンドヘア新世界,090-0032,北海道,北見市,三住町14−1 学園通リ,0157-31-2937,http://www.shinsekai-beauty.com,
World love,090-0036,北海道,北見市,幸町7−7−19,0157-23-0015,http://www.worldlovehair.com,
Glamorize,090-0043,北海道,北見市,北3条西2丁目16,0157-23-8620,,
DRESS HAIR,090-0070,北海道,北見市,美山町西1丁目50-162,0157-51-1886,https://www.facebook.com/DRESS-hairmake-477991902548943/,
Mirac Free,090-0804,北海道,北見市,桜町3丁目63−1 ロイヤルハイツサクラPLAZA1-C,0157-33-1000,http://www.quesera.co.jp,
アルファ新世界,090-0818,北海道,北見市,北見市本町5丁目6番18号,0157-22-3096,https://www.facebook.com/Alphalphalpha/,
HAIR&MELLOW,090-0837,北海道,北見市,中央三輪9丁目1−1,0157-57-3230,https://www.facebook.com/handm33/,
hair salon clover,094-0014 ,北海道,紋別市,緑町１丁目４−１７,0158-28-6057,,
Hair Stage BIBA,095-0019,北海道,士別市,大通東16−3143−11 西條百貨店士別店内,0165-22-0777,http://to-be.jp/,
Hair Creation BIBA,096-0015,北海道,名寄市,西5条南6丁目38,01654-2-0007,http://to-be.jp/,
エルム美容室,099-0404,北海道,紋別郡遠軽町,大通北1丁目2-73,0158-42-2865,https://www.engaru-ellm.com,
BEAUTRIUM PENINSULA,100-0006,東京都,千代田区,有楽町1-8-1 ザ･ペニンシュラ東京4F,03 (5208) 8291,http://beautrium.com/,
WILL bossa(ウィルボッサ),101-0052,東京都,千代田区,神田小川町3-18,03-3295-2094,www.roworl.ne.jp,
VISAGE Quon,104-0052,東京都,中央区,月島1-5-2キャピタルゲートプレイス201,03-6204-9901,http://www.visage.co.jp/,
COIFF1RST銀座,104-0061,東京都,中央区,銀座4-3-6 G4BRICKS BLD4階,03-3538-0025,https://ash-hair.com/,無
HAIR SALON彩（ヘアサロンアヤ）,104-0061,東京都,中央区,銀座1-7-5 銀座中央通りビル8F,03-6876-3507,http://hair-salon-aya.jp/index.html,無
allier,104-0061,東京都,中央区,銀座3-3-7STB9BLDG 2F,03-5250-3888,,
モードケイズRAD銀座店,104-0061,東京都,中央区,銀座2-4-18 ALBORE GINZA 4F,03-5524-0390,http://www.modeks.jp,
heel GINZA,104-0061,東京都,中央区,銀座1-6-12 DEAR GINZA 7F,03-5579-9035,,
Alushe銀座店,104-0061,東京都,中央区,銀座2-4-2 3F,03-5579-9264,http://alushe.tokyo/,
La fith sept,104-0061,東京都,中央区,銀座6−7−7 第3岩月ビル5F,03-6280-6225,,
Ramie GINZA,104-0061,東京都,中央区,銀座5-5-14 JPR銀座並木通リビル9F,03-3569-1171,https://urldefense.proofpoint.com/v2/url?u=http-3A__ramie.jp_&d=DwICJg&c=7cLS9WNAtBnCcDqDMiGRcw&r=SNxR-Tuh0wgnQG79QozbPYkKA13mBtDrEkYI6XaTeyU&m=X-E0KFTelI48SbII95wG2_Du8_XaORKJplBE8O72cUY&s=-a-K5ukj8EmUfAanbP7HUhMhRw9zmh8ojClO65Iuwio&e=,
Primum G2,104-0061,東京都,中央区,銀座2-11-5 陽光銀座セントラルビル3F,03-3541-7741,http://www.primum.co.jp,
U-REALM ginza,104-0061,東京都,中央区,銀座1-7-17 ヒューリック銀座ガス灯通4F,03-6264-4366,https://www.u-realm.com/,
mod's hair 銀座,104-0061,東京都,中央区,銀座3-2-1 マロニエゲート銀座3/B2F,03-3564-4848,http://modshair.co.jp/salon/,
AFLOAT JAPAN,104-0061,東京都,中央区,銀座2-5-14 銀座マロニエビル10F,03-5524-0701,https://www.afloat.co.jp/,
XELHA,104-0061,東京都,中央区,銀座4-8-4 三原ビル2F,03-6264-4136,https://www.afloat.co.jp/,
ジャック･モアザン パリ ヘアー&スパ 銀座店,104-0061,東京都,中央区,銀座5-4-7 サワモトビル3F,03-6218-4136,https://hair.socie.jp/,
SHIMA GINZA,104-0061,東京都,中央区,銀座5-7-6大黒屋ビル5F,03-3574-8700,http://www.shima-hair.com/,
SHIMA GINZA ANNEX,104-0061,東京都,中央区,銀座6-8-3銀座尾張町TOWER3F,03-5537-5701,http://www.shima-hair.com/,
SHIMA SIX GINZA,104-0061,東京都,中央区,銀座6-9-6銀座ヨシノヤビル6F,03-6264-6416,http://www.shima-hair.com/,
SHIMA SEVEN GINZA,104-0061,東京都,中央区,銀座6-9-6銀座ヨシノヤビル7F,03-6264-6417,http://www.shima-hair.com/,
BEAUTRIUM GINZA,104-0061,東京都,中央区,銀座7-7-7 GINZA 777 ADC BUILDING 7F,03 (5537) 5325,http://beautrium.com/,
BEAUTRIUM 265,104-0061,東京都,中央区,銀座2-6-5 銀座トレシャス4F,03 (3562) 6606,http://beautrium.com/,
銀座Ash,104-0061,東京都,中央区,銀座5丁目9番8号 CROSS GINZA 2F,03-5568-2525,https://ash-hair.com/,
essensuals(銀座),104-0061,東京都,中央区,銀座1-8-17 伊勢伊ビル1･2F,03-3563-6336,https://ash-hair.com/,
MINX銀座,104-0061,東京都,中央区,銀座2-5-4 ファサード銀座2F/7F,03-5159-3838,https://minx-net.co.jp/salon/ginza,
MINX銀座二丁目,104-0061,東京都,中央区,銀座2ー3ー1 Ray Ginza 9F,03-5524-0081,https://minx-net.co.jp/salon/ginza2chome,
MINX銀座中央通リ,104-0061,東京都,中央区,銀座6-9-7 近畿建物ビル2F,03-3573-3002,https://minx-net.co.jp/salon/ginzachuodori,
salon,104-0061,東京都,中央区,銀座5-9−1,03-6274-6466,http://salon-global.jp/,
CAMINOIA,104-0061,東京都,中央区,銀座6-7-7第3岩槻ビルディング3F,03-6264-5656,http://caminoia.com/,
Oak,104-0061,東京都,中央区,銀座1-8-7 VORT銀座8F,03-6226-6505,https://oak-ginza.storeinfo.jp/,
DESSANGE PARIS GINZA,104-0061,東京都,中央区,銀座3-3-14啓徳ビル1-2F,03-3561-2226,http://www.forecast.jp/index.php,
SIECLE,104-0061,東京都,中央区,銀座8-9-15ジェエルボックス銀座3F,03-3572-8005,http://www.forecast.jp/index.php,
EGO sette,104-0061,東京都,中央区,銀座7丁目8−7 GINZA GREEN 3F,03-6228-5708,http://www.ego-hair.jp/,
B -by- C 銀座,104-0061,東京都,中央区,銀座5-3-13 GINZA SSビル 11F,03-6274-6760,http://www.b-by-c.co.jp/#salon,
awa hair,104-0061,東京都,中央区,銀座1-6-8 DEAR GINZA 3F,03-6264-4308,http://www.mnhs-ginza.com/awa-hair/index.html,
DaB GINZA,104-0061,東京都,中央区,銀座5-7-6 大黒屋ビル5F ,03-6263-8664 ,http://www.dab.co.jp/,
MINX銀座5丁目店,104-0061,東京都,中央区,銀座5-7-6 i liv4F,03-3572-8700,https://minx-net.co.jp/salon/ginza5chome,
little×kuruku 銀座2号店,104-0061,東京都,中央区,銀座５丁目８−５ ニューギンザビル10号館 3F,03-6280-6822,http://anemone-salon.com/salon/little-kuruku-ginza/,
little ginza ,104-0061,東京都,中央区,銀座４丁目６−１７ 銀座シルクビル 7F,03-5250-5885,http://anemone-salon.com/salon/little-ginza/,
hair salon Graphy 銀座店,104-0061,東京都,中央区,銀座１丁目４−４,03-5159-0103,https://toshix.jp/graphy/sapporo/,
vi-ta 田町店,105-0014,東京都,港区,芝5-27-13 Y.A三田ビル B1F,03-6400-3450,http://www.vi-ta.com/shoplist/tamachi/,
BEAUTRIUM広尾,106-0031,東京都,港区,西麻布4-14-12 シェ麻布1F,03 (5467) 0760,http://beautrium.com/,
equri 麻布十番,106-0045,東京都,港区,麻布十番1-8-10TSビル5F,03-6277-8355,www.equri.jp,無
Atelier JD Paris 麻布店,106-0045,東京都,港区,麻布十番2-8-10麻布松屋ビル2F,03−3769-3393,http://www.atelierjdparis.com,
orgo,106-0045,東京都,港区,麻布十番1-7-9 酒井ビル2F,03-5474-3450,http://www.orgo-hair.jp/,
Terminal#10,106-0047 ,東京都,港区,南麻布1-6-5　グランドバリュー麻布十番102,03-6887-0302,http://globaltouch.info,
uka東京ミッドタウン店,107-0052,東京都,港区,赤坂9-7-4 東京ミッドタウン ガレリア2F ビューティー&ヘルスケアフロア,03-5413-7236,https://www.uka.co.jp/salons/midtown/,
DIFINO-akasaka,107-0052,東京都,港区,赤坂3-17-1イチゴ赤坂317ビル8階,03-6441-2067,http://difino.com/,
assort(アソート),107-0061,東京都,港区,北青山2-10-28 リヘイビルB1F,03-5772-6461,http://www.assort-hair.com/,
UR DELTA,107-0061,東京都,港区,北青山3-9-12 1階,03-5766-0565,http://ur-hair.com/#,
assort,107-0061,東京都,港区,北青山2-10-28 リヘイビルB1,03-5772-6461,http://www.assort-hair.com/,
SHIMA AOYAMA,107-0061,東京都,港区,北青山3-5-25表参道ビル,03-3401-4118,http://www.shima-hair.com/,
PEEK-A-BOO青山,107-0061,東京都,港区,北青山3-6-16 サンケイビル2F,03-5466-6311,http://www.peek-a-boo.co.jp/,
BEAUTRIUM Aoyama st,107-0061,東京都,港区,北青山3-3-11 ルネ青山2F,03 (5775) 2328,http://beautrium.com/,
