サロン名,〒,都道府県,市,詳細住所,tel,サロンHP,CCVeil取り扱い有無
ストラッセ扶桑店,480-0105,愛知県,丹羽郡扶桑町南山名高塚5-1 イオン扶桑SC,,0587-91-3126,https://the-kid.co.jp,有
PARIS PARI 夏目店,799-2437,愛媛県,松山市,夏目甲79 パルティフジ夏目,0120-042-845,http://bad-boys.jp/,無
VENIRE 重信店,791-0245,愛媛県,松山市,南梅本町1263-3,0120-133-805,http://bad-boys.jp/,無
PARIS PARI 衣山店,791-8025,愛媛県,松山市,衣山1-188パルティフジ衣山2F,0120-176-125,http://bad-boys.jp/,無
PARIS PARI 西条店,793-0028,愛媛県,西条市,新田字新田202 フジグラン西条別館,0120-486-557,http://bad-boys.jp/,無
TOKYO,790-0811,愛媛県,松山市,本町6-10-2,0120-573-224,https://www.tokyo-garcon.com/blank,無
VAN COUNCIL松前店,791-3120,愛媛県,伊予郡,松前町筒井850エミフルMASAKIエミモール2F,0120-637-020,http://bad-boys.jp/,無
PARIS PARI 天山店,790-0932,愛媛県,松山市,東石井5-13-26ジャンブルストア2F,0120-699-150,http://bad-boys.jp/,無
PARIS PARI 北斎院店,790-0012,愛媛県,松山市,北斎院町698-1パルティフジ北斎院店別館,0120-701-161,http://bad-boys.jp/,無
VENIRE 束本店,790-0916,愛媛県,松山市,束本1-8-29サニーマート束本敷地内,0120-947-448,http://bad-boys.jp/,無
boappu,790-0011,愛媛県,松山市,千舟町3丁目2-16,088-921-3939,,有
jin-LUCCA,795-0052,愛媛県,大洲市,若宮961-4,0893-50-8088,http://www.jin-inc.jp/,無
selfish HAIR DESIGN,798-0012,愛媛県,宇和島市,和霊町西通リ1区1329-5 咲ハイツ1F,0895-25-4334,http://selfish.main.jp/,無
Gal-up,799-0422,愛媛県,四国中央市,中之庄町1422-1,0896-23-1637,http://www.shikoku-net.co.jp/gal-up/,有
REDKEN Field,799-0421,愛媛県,四国中央市,三島金子2-3-7 毛利ビル内1F,0896-24-5435,http://www.shikoku-net.co.jp/gal-up/,有
hair design jun,792-0004,愛媛県,新居浜市,北新地13-46,0897-33-5787,http://hd-jun.com/,有
Hair i.m.K,792-0804,愛媛県,新居浜市,新居浜市田所町6−31,0897-37-6040,http://hairs-imk-lien.com/,有
Hair colony,792-0026,愛媛県,新居浜市,久保田町 1-6-58 カネコビル1F,0897-39-9121,,有
IMK Lien,792-0821,愛媛県,新居浜市,瀬戸町3−83,0897-47-4005,http://hairs-imk-lien.com/,有
TRUNKe hair Design,794-0015,愛媛県,今治市,常磐町8丁目3-18,0898-35-0080,http://trunk-ehairdesign.com/,有
INNOCENT 今治,799-1512,愛媛県,今治市,高市189-1,0898-55-8311,www.george-coltd.com/,無
jin feel,790-0905,愛媛県,松山市,樽味4丁目5-20,089-913-1558,http://www.jin-inc.jp/,無
shink hair shop,790-0062,愛媛県,松山市,南江戸 5-15-30,089-922-8899,,無
rassurants,790-0905,愛媛県,松山市,樽味4丁目3-32,089-935-7270,www.george-coltd.com/,無
R.graunt's,790-0952,愛媛県,松山市,朝生田町5丁目8-16,089-943-4012,www.george-coltd.com/,無
ジョージ湊町店,790-0012,愛媛県,松山市,湊町4-5-8 2F,089-947-5039,www.george-coltd.com/,無
George三津浜店,791-8076,愛媛県,松山市,会津町11-21,089-952-4300,www.george-coltd.com/,無
BAD-BOYS RAISE北土居店,791-1104,愛媛県,松山市,北土居3-9-30,089-956-6997,http://bad-boys.jp/,無
VENIRE 古川店,790-0941,愛媛県,松山市,和泉南6丁目2-27,089-958-0003,http://bad-boys.jp/,無
fix HAIR,799-2655,愛媛県,松山市,馬木町403,089-960-4224,www.george-coltd.com/,無
JIN Tiara,791-8076,愛媛県,松山市,会津町7-7セブンスター,089-967-7117,http://www.jin-inc.jp/,無
Vert,790-0035,愛媛県,松山市,藤原2丁目3-15,089-968-1168,http://www.jin-inc.jp/,無
Jin Palt,790-0924,愛媛県,松山市,南久米535-1,089-970-6378,http://www.jin-inc.jp/,無
Cllic,791-8031,愛媛県,松山市,北斎院町15-1,089-974-2775,www.george-coltd.com/,無
bijou,790-0056,愛媛県,松山市,土居田町495-1,089-974-5502,www.george-coltd.com/,無
VALETTA,790-0924,愛媛県,松山市,南久米113番地2,089-976-9900,www.george-coltd.com/,無
HAIR vita,791-3142,愛媛県,伊予郡,松前町筒井921-1,089-984-2787,www.george-coltd.com/,無
INNOCENT 北条,799-2435,愛媛県,松山市,府中935-1,089-992-2882,www.george-coltd.com/,無
凛心-rin-,790-0045,愛媛県,松山市,余戸中6丁目2-3,089-994-6190,www.george-coltd.com/,無
evergreen,306-0016,茨城県,古河市,古河548-2 ラフィーネ1F,0280-33-3111,https://beauty.hotpepper.jp/slnH000379760/,無
Arkss,311-4152,茨城県,水戸市,河和田3-2281-6 ハルナビル1-B,029-257-2577,,有
HAIR DESIGN CRAFT,311-4141,茨城県,水戸市,赤塚1-16 エスコート赤塚イースト棟1F B-102a,029-303-5085,,有
Melt,311-4153,茨城県,水戸市,河和田町214-1,029-306-8944,,有
Conoah spark,302-0119,茨城県,守谷市,御所ヶ丘3-12-1,0297-47-8686,https://www.conoah.com/,無
FREAK土浦店,300-0037,茨城県,土浦市,桜町1-15-3 宮本ビル2F,029-826-1193,,無
FREAKツクバ店,305-0033,茨城県,つくば市,東新井18-12 グローバルマンション,029-875-4147,,無
HAIR STUDIO jupiter,305-0005,茨城県,つくば市,天久保1-7-2 浪漫通リ1丁目,029-886-8856,http://www.hairstudio-jupiter.jp/,有
FREAK石岡店,315-0014,茨城県,石岡市,国府4-3-26,0299-23-1193,,無
AMANEQ by THISCOVER.,700-0977,岡山県,岡山市,北区問屋町24-103 2F,086-206-3425,http://thiscover.info/shop/0000173/,無
day ses thiscover.,700-0827,岡山県,岡山市,北区平和町7-18,086-206-3678,http://thiscover.info/shop/0000172/,無
Hair Lumo(ヘアルーモ),700-0821,岡山県,岡山市北区,中山下1−2−2,0800-100-8099,http://www.hi-de.co.jp/,有
freedom ion 岡山イオン前店,700-0903,岡山県,岡山市,北区幸町8−25岡山エクセルビル 3 階,086-201-2105,https://freedom-ion.business.site/,無
hair craft.,700-0827,岡山県,岡山市,北区問屋町11−101,086-223-9523,https://www.haircraft-neo.com/,有
JOYCE,700-0923,岡山県,岡山市,北区大元駅前6-3,086-224-0090,www.joyce-joyce.com/,無
beauty salon VOGUE 幸町店,700-0903,岡山県,岡山市,北区幸町2-12,086-225-1372,https://beauty.hotpepper.jp/slnH000075501/,無
RICERCA,700-0904,岡山県,岡山市,北区柳町1-12-16,086-227-1211,http://bloom-flowers.jp/,無
GRAN LUSSO 岡山駅前,700-0023,岡山県,岡山市,北区駅前町 1-1岡山成通ビル5F,086-230-2203,https://beauty.hotpepper.jp/slnH000400443/,無
+SUN(サン),700-0821,岡山県,岡山市北区,中山下1−7−7−2F,086-232-5220,http://www.mieux-co.jp/,有
NEUTRIZE hair make,700-0822,岡山県,岡山市,北区表町1丁目8−40 2F,086-238-7758,http://www.neutrize.com/,無
THISCOVER. hair&make.,700-0815,岡山県,岡山市,北区 野田屋町1-6-20 2F,086-238-9922,http://thiscover.info/shop/0000169/,無
FINSBURY PARK,700-0973,岡山県,岡山市,北区下中野356−101,086-245-0720,https://beauty.hotpepper.jp/slnH000349265/,無
Diva Hair,700-0953,岡山県,岡山市,南区西市526-10,086-245-7667,http://divahair.net/,有
beauty salon VOGUE 野田店,700-0971,岡山県,岡山市,北区野田3-5-3 2F,086-246-5718,https://beauty.hotpepper.jp/slnH000104131/,無
PANIC (パニック),700-0013,岡山県,岡山市,北区伊福町4−4−34,086-250-8219,http://www.panic-inc.jp/panic_n.html,無
Iris.,700-0927,岡山県,岡山市,北区西古松2丁目17−12,086-259-4588,https://iris-2015.com/,無
HAIR 8219(ヘア8219),702-8043,岡山県,岡山市,南区平福2−5−38,086-262-8219,http://www.panic-inc.jp/8219.html,有
PANIC rect(パニック レクト),701-0221,岡山県,岡山市,南区藤田560−209 リョービプラッツ･Pモール内,086-296-6333,http://www.panic-inc.jp/rect,無
CUT BOX PANIC(カットボックス パニック),706-0002,岡山県,玉野市,築港2−14−30,0863-32-2345,http://www.panic-inc.jp/panic.html,無
Deux PANIC(デュー パニック),706-0133,岡山県,玉野市,宇藤木550−26,0863-71-5001,http://www.panic-inc.jp/deux.html,無
SET-UP堀南店(セットアップ ホリナンテン),710-0841,岡山県,倉敷市,堀南785−6,086-423-2333,http://www.setup-group.jp/,有
beauty salon VOGUE 水島店,712-8058,岡山県,倉敷市,水島東常盤町1-12,086-445-0138,https://beauty.hotpepper.jp/slnH000079488/,無
SET-UP 中島店(セットアップ ナカシマテン),710-0803,岡山県,倉敷市,中島2370−4,086-466-2225,http://www.setup-group.jp/,有
Beauty salon Hanshin,708-0021,岡山県,津山市,北町49-1,0868-22-4215,http://hanshin-drop.jp/index.html,有
BeBe hair space,708-1126,岡山県,津山市,押入796-6,0868-26-2678,www.k-art-be.com,無
hair Technica,700-0856,岡山県,岡山市,北区十日市西町8-15,086-959-4702,http://hair-technica.com/,無
Root,906-0012,沖縄県,宮古島市,平良字西里853-10,0980-72-8888,http://miyako-root.com/,無
Amp,903-0821,沖縄県,那覇市,首里儀保町2-13 2F,098-835-5657,http://www.amp1998.net/,無
MIMU de HOMME,900-0005,沖縄県,那覇市,天久1-6-10 フォーシーズンコート2F,098-867-9688,http://www.mimu-de-homme.com/,無
MIMU de HOMME Vie,900-0033,沖縄県,那覇市,久米2-24-7-2F,098-867-9688,www.mimu-de-homme.com,無
MiND HAiR,900-0013,沖縄県,那覇市,牧志2-11-8 2F,098-869-8331,http://www.mind-hair.net/,無
angara,901-2101,沖縄県,浦添市,西原5-2-3,098-874-3052,http://angara.jugem.jp/,無
NooM,901-2224,沖縄県,宜野湾市,真志喜3-4-19,098-898-9101,https://www.hairsalonnoom.com/,無
pesca 那覇新都心,900-0004,沖縄県,那覇市,銘苅2−4−43 藤恵ビル1F,098-914-3213,www.pesca-hair.jp/salon,有
La fith tida,900-0006,沖縄県,那覇市,オモロマチ4-12-8 1F,098-917-5519,,無
Dears hair make by Laise,904-0115,沖縄県,北谷町,美浜1-5-9 2F,098-923-0464,http://dears-hairmake.com/access.html,有
Pas de deux LEQUIOS,904-0115,沖縄県,中頭郡北谷町,美浜1-3-2-1F,098-936-9794,http://www.pasdedeux.co/,有
torank's 那覇,902-0062,沖縄県,那覇市,松川746 ランコントル真嘉比Ⅱ2F,098-943-3335,www.pesca-hair.jp/salon,有
Aju-r hair design,900-0006,沖縄県,那覇市,オモロマチ4-6-17 オモロパークテラス3F,098-943-4765,http://www.aju-r.jp/,有
carin 那覇真嘉比,902-0069,沖縄県,那覇市,松島2−1−15 ジョウナヒルズ,098-987-6011,www.pesca-hair.jp/salon,有
TUMUZI,902-0065,沖縄県,那覇市,壺町2-1-34,098-996-4523,http://tumuzi.wixsite.com/tumuzi,無
B-PIECE 一関店,021-0015,岩手県,一関市山目字泥田89-1 イオン一関店1F,,0191-25-5993,https://the-kid.co.jp,有
銀ノハサミ Cherm(ギンノハサミ シェルム),028-0041,岩手県,久慈市,長内町30-18-2,0194-53-1156,http://artistar.biz/,有
UNIQUE 大通店(ユニーク オオドウリテン),020-0022,岩手県,盛岡市,大通1-3-7,019-651-7007,http://www.unique-g.co.jp/,無
Hair&Nail Broad 盛岡,020-0851,岩手県,岩手県盛岡市向中野7-14-3 アクロスプラザ盛南,,019-656-7291,https://the-kid.co.jp,有
Rohange hair Creo,500-8833,岐阜県,岐阜市,神田町9-22 パリスビル1F,058-266-5002,http://rohange-hair.com/,無
ストラッセ 各務原店,504-0943,岐阜県,各務原市那加萱場町3-8 イオン各務原SC 新館３F,,058-375-3756,https://the-kid.co.jp,有
ストラッセ 大垣店(店販),503-0933,岐阜県,大垣市外野2-100 イオンSC大垣1F,,0584-87-3562,https://the-kid.co.jp,無
Under The Sun* SUITE,880-0824,宮崎県,宮崎市,大島町前田322-4,0985-61-3440,https://www.under-the-sun.net/,有
hair make balance,880-0835,宮崎県,宮崎市,阿波岐原町前浜4276-376,0985-74-8686,,有
Under The Sun* natural&organics,880-0211,宮崎県,宮崎市,佐土原町下田島10731−3,0985-82-6600,https://www.under-the-sun.net/,有
REGOLITH,880-0053,宮崎県,宮崎市,神宮2丁目2-1ケヤキビル1F,0985-89-2972,http://hairsalon-regolith.jp/,無
marble hair lab,885-0112,宮崎県,都城市,乙房町150-3,0986-77-3061,www.marble-hair-lab.com,有
VEGETA,980-0021,宮城県,仙台市,青葉区中央2−11−13ユーメントビル2F,022-226-7076,www.pesca-hair.jp/salon,有
reve by first(レーブ バイ ファースト),983-0039,宮城県,仙台市,宮城野区新田東1-16-2 K2ビル1F,022-236-8710,http://www.hair-make-first.jp/,有
Lian,980-0021,宮城県,仙台市,青葉区中央2‐7‐11ストックマンビル3F,022−263-5565,,有
pesca 仙台駅前,980-0021,宮城県,仙台市,青葉区中央2−9−7 アーバンブリッジビルディング3F,022-265-3312,www.pesca-hair.jp/salon,有
OMU HAIR&MAKE SENDAI HONTEN,980-0021,宮城県,仙台市,青葉区中央2‐8‐11 Hotel Premium Green Hills.2F,022-268-8230,http://omu-uhs.com/,無
torank's 仙台,980-0803,宮城県,仙台市,青葉区国分町2−2−11オパール仙台2F,022-281-8755,www.pesca-hair.jp/salon,有
act unjour,982-0023,宮城県,仙台市,太白区鹿野3-20-8,022-304-5011,,無
act ISM,981-1104,宮城県,仙台市,太白区西中田1-17-75,022-306-3577,,無
modern craft 長町南店(モダンクラフト ナガマチミナミテン),982-0012,宮城県,仙台市,太白区長町南4-1-20 マツモトキヨシ2F,022-308-2050,Http://moderncraft.co.jp,無
Breath by first,981-3625,宮城県,黒川郡,大和町吉田高田東3 93街区41画地,022-346-1968,http://www.hair-make-first.jp/,無
ETERNAL HAIR(エターナル ヘア),981-3341,宮城県,富谷市,成田4-18-1 2F,022-351-6733,,無
act growth,984-0038,宮城県,仙台市,若林区伊在字屋敷9-5,022-390-1355,,無
first 仙台(ファースト センダイ),980-0014,宮城県,仙台市,青葉区本町2-4-8 510ビル2F,022-393-5882,http://www.hair-make-first.jp/,有
first 東仙台(ファースト ヒガシセンダイ),983-0833,宮城県,仙台市,宮城野区東仙台4-14-8 フォレオセンダイ宮ノ杜,022-393-5882,http://www.hair-make-first.jp/,有
Royal MC(ロイヤルエムシー),984-0042,宮城県,仙台市,若林区大和町1-4-7,022-393-6761,Http://moderncraft.co.jp,無
trove by first(トゥルーブ バイ ファースト),980-0811,宮城県,仙台市,青葉区一番町3-3-5 青葉通ビル2F,022-395-6647,http://www.hair-make-first.jp/,有
NeF(ネフ),980-0021,宮城県,仙台市,青葉区中央1-7-4 宮城商事ビル5F,022-399-8123,,無
Lien(リアン),986-0812,宮城県,石巻市,東中里2-24-3 2F,0225-24-9496,,
DUAL CARE TRUE(デュアルケア トゥルー),980-0811,宮城県,仙台市,青葉区一番町4-6-1 仙台第一生命タワービル21F,022-716-6117,,無
DUAL CARE bellus(デュアルケア ベルス),980-0811,宮城県,仙台市,青葉区一番町3-3-6 星和仙台ビル2F,022-726-6710,,無
Lieto lino(リエート リノ),981-8003,宮城県,仙台市,泉区南光台7-19-5,022-738-8288,,無
Lieto vita(リエート ビタ),989-3122,宮城県,仙台市,青葉区栗生6-5-5,022-738-8288,,無
ARUE(アルエ),980-0811,宮城県,仙台市,青葉区一番町1-11-9 仙台リエゾン1F2F,022-738-8424,,無
first 長町(ファースト ナガマチ),982-0023,宮城県,仙台市,太白区長町南3-1-32,022-748-0312,http://www.hair-make-first.jp/,有
BRooCH(ブローチ),980-0811,宮城県,仙台市,青葉区一番町3-10-22 文化堂ビル2階,022-748-6839,,無
L by first(エル バイ ファースト),983-0833,宮城県,仙台市,宮城野区東仙台2-13-6 ロイヤルハイツ東仙台1F,022-766-8321,http://www.hair-make-first.jp/,有
first 泉中央(ファースト イズミチュウオウ),981-3133,宮城県,仙台市,泉区泉中央3-2-1 ルーセント21-2F,022-771-2071,http://www.hair-make-first.jp/,有
modern craft 新田東店(モダンクラフト シンデンヒガシテン),983-0038,宮城県,仙台市,宮城野区新田東5-13-1 1F,022-782-7703,http://moderncraft.co.jp,無
MAISON(メゾン),980-0811,宮城県,仙台市,青葉区一番町3-9-2 PLUSビル4階,022-796-8911,http://maison-sendai.com,無
kaguyahime doui,604-8053,京都府,京都市,中京区麩屋町錦小路下ル桝屋町516 ARGENT四条ビル1F,075-211-3425,https://kaguyahime-1983.jp/,無
REKO美容室 京都ホテルオークラ店,604-0924,京都府,京都市,中京区河原町御池 京都ホテルオークラ5F,075-212-2111,http://www.re-ko.jp/kyotohotelokura,無
La fith hair corona(ラフィス ヘア コロナ),604-8247,京都府,京都市,中京区河原町通蛸薬師下ル塩屋町327-3-3三篠サクラヤビル2F,075-212-5811,,無
physio GOKOMACHI,604-8066,京都府,京都市,中京区御幸町通六角下ル伊勢屋町335-1 アップヒルズ2F,075-213-0627,http://physio.jp/,有
JILI,604-8163,京都府,京都市,中京区室町通六角下ル鯉山町530番地,075-213-3123,http://lita-kyoto.com/,無
LITA,604-8163,京都府,京都市,中京区室町通六角下ル鯉山町507番地,075-221-8133,http://lita-kyoto.com/,無
REKO美容室 本店,602-8034,京都府,京都市,上京区油小路通丸太町上ル米屋町274‐2,075-231-7747,http://www.re-ko.jp/headoffice,無
Hair Rem(ヘアーレム),604-8045,京都府,京都市,中京区円福寺前町268−6,075-253-6611,http://www.hair-rem.com/,無
YAYOI〜BRAINS fairy,600-8007,京都府,京都市,下京区四条通高倉西入立売西町71グランドキューブ四条3F,075-254-6677,https://yayoi-brains.com/,無
Beﬁne becs,604-8006,京都府,京都市,中京区 下丸屋町410西側 ユニティ河原町ビル2F,075-254-8788,http://befine.net/befine-becs/,無
physio SAKAIMACHI,604-8123,京都府,京都市,中京区堺町通四条上ル八百屋町546 クリサンセマム1F,075-255-0616,http://physio.jp/,有
hair&spa sala 京都三条,604-8131,京都府,京都市,中京区三条通東洞院東入菱屋町42,075-255-1700,http://im-happy.jp/sala-sanjo/,無
WORLD ORDER 京都四条烏丸店(ワールドオーダー キョウトシジョウカラスマテン),600-8006,京都府,京都市,下京区四条通柳馬場西入立売中之町92番地AOKIビル 2F,075-255-3580,http://worldorder-hair.com/salon01.php,
san･ai hair(サンアイヘア),604-8083,京都府,京都市,中京区三条通富小路北東角ARC SANJYO 1F&2F ARC SANJYO 1F & 2F,075-256-2035,http://www.san-ai-hair.com/,無
Beﬁne dyhas,604-8121,京都府,京都市,中京区柳馬場通錦上ル十文字町444 イーグルコート1F,075-256-8312,http://befine.net/befine-dyhas/,無
novem by Cirrus,604-0803,京都府,京都市,中京区押小路通富小路東入ル橘町630,075-257-2223,http://cirrus-design.jp/,無
Rojetta by snob,604-8006,京都府,京都市,中京区河原町通三条上ル下丸屋町407−2 ルート河原町ビル2F,075-257-2227,http://www.snob.co.jp/salon/rojetta.html,無
snob enVAmp(スノッブ エンバンプ),604-8033,京都府,京都市,中京区河原町通蛸薬師上ル奈良屋町293清水屋ビル2F,075-257-3207,http://www.snob.co.jp/salon/envamp.html,無
Snob Eternita(スノッブ エテルニータ),600-8005,京都府,京都市,下京区立売東町14−4 イシズミビル2F,075-257-3303,http://www.snob.co.jp/salon/eternita.html,無
edge origination河原町店,604-8026,京都府,京都市,中京区河原町通リ四条上ル米屋町391 河原町ニュートーキョービル3F,075-257-5105,http://edge-origination.com/,無
Snob AnBlick(スノッブ アンブリック),604-8041,京都府,京都市,中京区蛸薬師裏寺通上ル裏寺町591ラウンドアバウト5thビル2F,075-257-6777,http://www.snob.co.jp/salon/anblick.html,無
Licht KYOTO(リヒトキョウト),604-8073,京都府,京都市,中京区六角通柳馬場東入大黒町71Gosho−sando2F,075-257-7456,http://www.lichtkyoto.jp/,無
neutral public(ニュートラル パブリック),604-0021,京都府,京都市,中京区蛸薬師通東洞院東入泉正寺324番地 富田ISビル2F,075-257-8938,,
emue(エミュー),615-0851,京都府,京都市,右京区西京極西池田町9番地5西京極駅前ビル2F,075-311-3666,http://emue-hair.jp/,無
faze I'm 西院(フェイズアイム サイイン),615-0012,京都府,京都市,右京区西院高山寺町21-2,075-313-1109,http://im-happy.jp/faze/,無
K'sコレクション 京都店,615-0035,京都府,京都市右京区西院追分町25-1 イオンモール京都ハナ3F,,075-314-9820,https://the-kid.co.jp,有
Hair&Make NOISM ekahi(ヘアーアンドメイク ノイズ エカヒ),615-0002,京都府,京都市,右京区西院東今田町46 リュッテビルディング1F,075-325-1666,http://noism-hair.com/salon01.php,有
HAIR SNOB(ヘア スノッブ),610-1113,京都府,京都市,西京区 大枝南福西町3−1−1,075-333-0016,http://www.snob.co.jp/salon/hairsnob.html,無
WORLD ORDER 京都駅前店(ワールドオーダー キョウトエキマエテン),600-8218,京都府,京都市,下京区七条通新町東入西境町149番地 サザン京都駅前ビル1F,075-365-6204,http://worldorder-hair.com/salon02.php,
Hair&make NOISM〜ekolu〜,600-8216,京都府,京都市,下京区東塩小路707-2 ダイワロイネットホテルB1F,075-371-8707,http://noism-hair.com/,無
Hair&Make NOISM elua(ヘアーアンドメイク ノイズ エルア),615-8074,京都府,京都市,西京区桂南巽町34‐3 リュネール桂1F,075-383-5511,http://noism-hair.com/salon02.php,有
YAYOI〜BRAINS GRANDE,615-8074,京都府,京都市,西京区桂南巽町128-3 山内ビル2F,075-391-1272,https://yayoi-brains.com/,無
soin de brace桂店,615-8191,京都府,京都市,西京区川島有栖川町17 TWINKLE COURT桂 II,075-394-4748,http://brace.co.jp/shop/%e6%a1%82%e5%ba%97/,無
YAYOI〜BRAINS Seem,615-8272,京都府,京都市,西京区山田畑田町13-2 EXEⅡ 1F,075-394-6345,https://yayoi-brains.com/,無
RE−KO北大路(レーコキタオオジ),603-8142,京都府,京都市,北区烏丸通北大路上ル,075-491-2050,http://re-ko.jp/kitaooji.html,無
hair&spa sala 山科,607-8080,京都府,京都市,山科区竹鼻竹ノ街道町33-3ドモス竹鼻2F,075-582-0502,http://im-happy.jp/sala-yamashina/,無
BASE I'm,607-8080,京都府,京都市,山科区竹鼻竹ノ街道町33-3 ドモス竹鼻1F,075-583-1895,http://im-happy.jp/base/,無
Be fine(ビファイン),612-8086,京都府,京都市,伏見区京町北7−1−4 京阪丹波橋駅ビル3F,075-612-6439,http://befine.net/shop/head/,無
Marais(マレ),607-8414,京都府,京都市,山科区御陵中内町3,075-634-9165,http://www.marais308.com/,無
valire(バリレ),612-8403,京都府,京都市,伏見区深草ヲカヤ町33−6−1F,075-643-9800,http://www.valire.jp/,無
Be fine ACT2(ビファイン アクト2),612-0012,京都府,京都市,伏見区深草一ノ坪町38−12(ローソン2F),075-645-3636,http://befine.net/shop/act2/,無
Focus JAPAN(フォーカスジャパン),604-8043,京都府,京都市,中京区寺町通四条上ル東大文字町307-1 Connect寺町2F,075-746-4246,http://beauty-focus-japan.com/salonlist.html,
Melico hair,604-8044,京都府,京都市,中京区御幸町四条上ガル大日町422 1F,075-755-0522,http://www.melico.jp/,無
Relico-nid,604-8073,京都府,京都市,中京区大黒町76-2 不破ビル1F,075-755-7169,http://www.melico.jp/,無
Plume(プリュム),600-8395,京都府,京都市,下京区岩上通仏光寺下ル徳屋町438,075-812-7288,http://plume-kyoto.com/,無
ensue,604-8365,京都府,京都市,中京区四条通大宮西入錦大宮町115-3ファーストフライトビル2F,075-822-0511,https://emue-ensue.jp/salon/ensue/,有
cirrus,604-8404,京都府,京都市,聚楽廻東町22,075-841-2223,http://cirrus-design.jp/,無
Marry's 帷子ノ辻(マリィズ カタビラノツジ),616-8151,京都府,京都市,右京区太秦帷子ヶ辻町23 アルティスタ帷子ヶ辻2F,075-862-5324,http://www.marrys2008.com/,無
Nishihara(ニシハラ),617-0824,京都府,長岡京市,天神一丁目 8−20,075-953-1427,http://www.nishiharabiyoshitsu.com/calendar-nishihara/cal-nishi.html,無
affect 長岡天神,617-0823,京都府,長岡市,長岡1-1-142F,075-957-2505,http://ks-hair.co.jp/rose/,有
creator's space N(クリエイターズスペースエヌ),617-0826,京都府,長岡京市,開田四丁目1−9,075-958-2264,http://www.nishiharabiyoshitsu.com/calendar-n/cal-n.html,無
kaguyahime cheveux sur,617-0823,京都府,長岡京市,長岡2−3−9 GoodMansion1F,075-958-6177,https://kaguyahime-1982.jp/,無
Lumo-Est.,621-0812,京都府,亀岡市,横町34−5,0771-25-8025,www.lumo-est.com,有
DEBUT(デビュー),629-2312,京都府,与謝郡与謝野町,四辻605−12,0772-42-6733,www.debut-web.com,有
DEBUT familia(デビュー ファミリア),629-2503,京都府,京丹後市,大宮町周枳1669−1,0772-64-4399,www.debut-web.com,有
Totti HAIR DESIGN,629-2502,京都府,京丹後市,大宮町河辺3295 sctaviaビル2F,0772-64-5508,http://www.totti-hd.com/,無
BENCH,629-2504,京都府,京丹後市,大宮町善王寺1170-10,0772-68-1540,https://bench-hairsalon.com/,無
SHARE'S(シェアーズ),623-0054,京都府,綾部市,井倉町東19番地,0773-21-4192,www.shares07.com/,
K-peace(ケーピース),620-0000,京都府,福知山市,裏ノ77−2,0773-22-5907,www.k-peace.com,有
SOULs 福知山店(ソウルズ フクチヤマテン),620-0940,京都府,福知山市,駅南町3−161,0773-23-0048,www.souls-h.com,有
